data,casos,obitos,recuperados,ativos,media_movel_7
2022-01-02,996,22,944,30,996.0
2022-01-09,993,17,945,31,994.5
2022-01-16,1022,31,978,13,1003.7
2022-01-23,988,41,927,20,999.8
2022-01-30,1042,26,987,29,1008.2
2022-02-06,1087,29,1034,24,1021.3
2022-02-13,1094,25,1060,9,1031.7
2022-02-20,1104,28,1045,31,1047.1
2022-02-27,1082,32,1026,24,1059.9
2022-03-06,1114,37,1058,19,1073.0
2022-03-13,1141,40,1069,32,1094.9
2022-03-20,1080,29,1032,19,1100.3
2022-03-27,1115,45,1042,28,1104.3
2022-04-03,1135,42,1072,21,1110.1
2022-04-10,1077,41,1014,22,1106.3
2022-04-17,1123,15,1086,22,1112.1
2022-04-24,1095,30,1046,19,1109.4
2022-05-01,1126,30,1075,21,1107.3
2022-05-08,1129,25,1082,22,1114.3
2022-05-15,1106,21,1071,14,1113.0
2022-05-22,1090,34,1035,21,1106.6
2022-05-29,1058,20,1028,10,1103.9
2022-06-05,1020,31,968,21,1089.1
2022-06-12,1030,30,971,29,1079.9
2022-06-19,1039,29,987,23,1067.4
2022-06-26,997,19,945,33,1048.6
2022-07-03,992,30,939,23,1032.3
2022-07-10,997,27,956,14,1019.0
2022-07-17,1005,33,936,36,1011.4
2022-07-24,942,35,881,26,1000.3
2022-07-31,968,26,925,17,991.4
2022-08-07,928,33,868,27,975.6
2022-08-14,950,27,893,30,968.9
2022-08-21,950,25,904,21,962.9
2022-08-28,940,30,898,12,954.7
2022-09-04,906,25,846,35,940.6
2022-09-11,901,29,841,31,934.7
2022-09-18,923,29,867,27,928.3
2022-09-25,897,24,850,23,923.9
2022-10-02,929,21,893,15,920.9
2022-10-09,946,33,887,26,920.3
2022-10-16,904,12,876,16,915.1
2022-10-23,907,12,882,13,915.3
2022-10-30,893,20,847,26,914.1
2022-11-06,960,24,910,26,919.4
2022-11-13,971,21,923,27,930.0
2022-11-20,920,32,869,19,928.7
2022-11-27,961,31,903,27,930.9
2022-12-04,935,22,887,26,935.3
2022-12-11,955,23,905,27,942.1
2022-12-18,961,20,917,24,951.9
2022-12-25,966,24,919,23,952.7
2023-01-01,1028,28,981,19,960.9
2023-01-08,1040,30,987,23,978.0
2023-01-15,1055,38,981,36,991.4
2023-01-22,1052,27,1006,19,1008.1
2023-01-29,1112,31,1062,19,1030.6
2023-02-05,1065,31,1012,22,1045.4
2023-02-12,1061,31,1018,12,1059.0
2023-02-19,1067,38,1009,20,1064.6
2023-02-26,1090,37,1040,13,1071.7
2023-03-05,1089,16,1046,27,1076.6
2023-03-12,1097,28,1047,22,1083.0
2023-03-19,1127,29,1074,24,1085.1
2023-03-26,1055,27,1006,22,1083.7
2023-04-02,1128,46,1069,13,1093.3
2023-04-09,1102,25,1056,21,1098.3
2023-04-16,1125,33,1072,20,1103.3
2023-04-23,1120,24,1065,31,1107.7
2023-04-30,1103,31,1044,28,1108.6
2023-05-07,1086,25,1027,34,1102.7
2023-05-14,1027,21,992,14,1098.7
2023-05-21,1097,37,1042,18,1094.3
2023-05-28,1090,34,1035,21,1092.6
2023-06-04,1051,34,996,21,1082.0
2023-06-11,1095,24,1043,28,1078.4
2023-06-18,1077,27,1019,31,1074.7
2023-06-25,1040,27,991,22,1068.1
2023-07-02,996,28,954,14,1063.7
2023-07-09,1016,31,962,23,1052.1
2023-07-16,995,23,949,23,1038.6
2023-07-23,975,28,919,28,1027.7
2023-07-30,983,20,926,37,1011.7
2023-08-06,954,30,913,11,994.1
2023-08-13,943,24,894,25,980.3
2023-08-20,907,31,841,35,967.6
2023-08-27,934,26,882,26,955.9
2023-09-03,949,18,907,24,949.3
2023-09-10,933,17,888,28,943.3
2023-09-17,933,25,879,29,936.1
2023-09-24,872,26,812,34,924.4
2023-10-01,912,24,865,23,920.0
2023-10-08,918,26,866,26,921.6
2023-10-15,888,29,844,15,915.0
2023-10-22,918,31,858,29,910.6
2023-10-29,903,22,872,9,906.3
2023-11-05,911,21,863,27,903.1
2023-11-12,949,25,907,17,914.1
2023-11-19,953,19,910,24,920.0
2023-11-26,932,12,899,21,922.0
2023-12-03,994,26,959,9,937.1
2023-12-10,953,19,908,26,942.1
2023-12-17,997,21,949,27,955.6
2023-12-24,982,24,932,26,965.7
